Subject Head_Dist.cm Time Trial Message L_Pupil_Diameter.mm L_Event R_Pupil_Diameter.mm R_Event L_Missing.Total R_Missing.Total Stimulus PreTrial
11 70 -314.675 1 NA 5.9742 Fixation 6.1717 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -310.681 1 NA 5.976 Fixation 6.1767 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -306.687 1 NA 5.9767 Fixation 6.1712 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -302.694 1 NA 5.9713 Fixation 6.1724 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -298.7 1 NA 5.9679 Fixation 6.1682 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -294.706 1 NA 5.9661 Fixation 6.1711 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -290.712 1 NA 5.9647 Fixation 6.1636 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -286.718 1 NA 5.9623 Fixation 6.1627 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -282.724 1 NA 5.9584 Fixation 6.1559 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -278.73 1 NA 5.9557 Fixation 6.1511 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -274.736 1 NA 5.9534 Fixation 6.1475 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -270.742 1 NA 5.9556 Fixation 6.1467 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -266.749 1 NA 5.9536 Fixation 6.1453 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -262.755 1 NA 5.9571 Fixation 6.1447 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -258.761 1 NA 5.9609 Fixation 6.1441 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -254.767 1 NA 5.9645 Fixation 6.1437 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -250.773 1 NA 5.9691 Fixation 6.1437 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -246.779 1 NA 5.9703 Fixation 6.1441 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -242.785 1 NA 5.9734 Fixation 6.1445 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -238.791 1 NA 5.9718 Fixation 6.1463 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -234.798 1 NA 5.9727 Fixation 6.1359 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -230.804 1 NA 5.9716 Fixation 6.1345 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -226.81 1 NA 5.9702 Fixation 6.1349 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -222.816 1 NA 5.9683 Fixation 6.1333 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -218.822 1 NA 5.968 Fixation 6.1306 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -214.828 1 NA 5.9647 Fixation 6.1325 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -210.834 1 NA 5.966 Fixation 6.1341 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -206.84 1 NA 5.9639 Fixation 6.1299 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -202.846 1 NA 5.9643 Fixation 6.1291 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -198.853 1 NA 5.9645 Fixation 6.1319 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -194.859 1 NA 5.9622 Fixation 6.1302 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -190.865 1 NA 5.9592 Fixation 6.1242 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -186.871 1 NA 5.966 Fixation 6.1332 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -182.877 1 NA 5.9717 Fixation 6.136 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -178.883 1 NA 5.9685 Fixation 6.1317 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -174.889 1 NA 5.9677 Fixation 6.1308 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
