Subject	Head_Dist.cm	Time	Trial	Message	Pupil_Diameter.mm	Eye_Event	Missing.Total	Pupils.r	Stimulus	PreTrial	PreTarget	Target	min	Pupil_Diameter_bc.mm
19	70	-819.665	1	NA	4.712425	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-815.666	1	NA	4.71276697247706	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-811.667	1	NA	4.71310181818182	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-807.668	1	NA	4.71345855855856	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-803.668	1	NA	4.71376517857143	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-799.669	1	NA	4.71409911504425	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-795.67	1	NA	4.71441666666667	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-791.671	1	NA	4.71471391304348	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-787.671	1	NA	4.71497327586207	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-783.672	1	NA	4.71520769230769	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-779.673	1	NA	4.71540508474576	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-775.674	1	NA	4.7155731092437	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-771.674	1	NA	4.71570333333333	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-767.675	1	NA	4.7157479338843	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-763.676	1	NA	4.7157737704918	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-759.677	1	NA	4.71578130081301	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-755.678	1	NA	4.71574435483871	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-751.678	1	NA	4.7156968	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-747.679	1	NA	4.7154912	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-743.68	1	NA	4.7153352	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-739.681	1	NA	4.7152232	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-735.681	1	NA	4.7151872	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-731.682	1	NA	4.7151896	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-727.683	1	NA	4.715248	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-723.684	1	NA	4.7153776	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-719.685	1	NA	4.715572	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-715.685	1	NA	4.715828	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-711.686	1	NA	4.7161608	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-707.687	1	NA	4.7165368	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-703.688	1	NA	4.7169544	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-699.688	1	NA	4.7174904	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-695.689	1	NA	4.7180976	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-691.69	1	NA	4.7187824	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-687.691	1	NA	4.7195184	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-683.692	1	NA	4.720288	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-679.693	1	NA	4.7211216	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-675.695	1	NA	4.7220184	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-671.696	1	NA	4.7229336	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-667.698	1	NA	4.7238552	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-663.699	1	NA	4.724772	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-659.7	1	NA	4.7256168	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-655.702	1	NA	4.7263856	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-651.703	1	NA	4.7270888	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-647.704	1	NA	4.7276696	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-643.706	1	NA	4.7281768	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-639.707	1	NA	4.7285888	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-635.708	1	NA	4.72892	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-631.71	1	NA	4.729192	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-627.711	1	NA	4.7294048	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-623.713	1	NA	4.7295288	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-619.714	1	NA	4.7296248	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-615.715	1	NA	4.7296816	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-611.716	1	NA	4.72974	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-607.716	1	NA	4.7297928	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-603.717	1	NA	4.7298488	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-599.717	1	NA	4.7299656	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-595.718	1	NA	4.7300968	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-591.718	1	NA	4.7302272	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-587.719	1	NA	4.7303704	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-583.719	1	NA	4.7305832	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-579.719	1	NA	4.7308296	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-575.72	1	NA	4.7311176	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-571.72	1	NA	4.7314384	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-567.721	1	NA	4.731852	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-563.721	1	NA	4.7323456	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-559.722	1	NA	4.7329016	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-555.722	1	NA	4.733564	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-551.723	1	NA	4.7342232	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-547.723	1	NA	4.7348928	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-543.724	1	NA	4.73552	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-539.724	1	NA	4.7361056	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-535.724	1	NA	4.7366152	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-531.725	1	NA	4.7370112	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-527.725	1	NA	4.7374048	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-523.726	1	NA	4.737724	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-519.726	1	NA	4.7379768	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-515.727	1	NA	4.7381504	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-511.727	1	NA	4.7383016	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-507.728	1	NA	4.7384048	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-503.728	1	NA	4.7384824	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-499.729	1	NA	4.7385224	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-495.729	1	NA	4.7385096	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-491.73	1	NA	4.7384432	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-487.73	1	NA	4.7383264	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-483.73	1	NA	4.73818	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-479.731	1	NA	4.73798	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-475.732	1	NA	4.7377672	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-471.732	1	NA	4.7375432	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-467.733	1	NA	4.7373808	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-463.733	1	NA	4.7372072	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-459.734	1	NA	4.7370192	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-455.734	1	NA	4.736844	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-451.735	1	NA	4.7366784	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-447.735	1	NA	4.73658	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-443.736	1	NA	4.7365392	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-439.737	1	NA	4.7366248	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-435.737	1	NA	4.736712	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-431.738	1	NA	4.7367728	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-427.738	1	NA	4.7368552	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-423.739	1	NA	4.7369328	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-419.739	1	NA	4.7370176	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-415.74	1	NA	4.7370992	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-411.74	1	NA	4.737204	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-407.74	1	NA	4.7373024	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-403.74	1	NA	4.7373856	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-399.741	1	NA	4.737464	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-395.741	1	NA	4.7375872	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-391.741	1	NA	4.7376904	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-387.741	1	NA	4.7377344	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
19	70	-383.741	1	NA	4.7377872	Fixation	0.00574712643678161	0.453738387507362	Fixation	1	0	0	0	NA
